ExchangeName;Country;Capitalization;Capitalization/GDP;Value traded (EOB Total);Value traded (Total)/GDP;Share turnover velocity;Capitalization/Number of listed companies (Total);Number of listed companies (Total);Number of listed companies (Foreign)/Number of listed companies (Total);Number of listed companies (Domestic)/Population;Number of listed companies (Domestic);Number of listed companies (Foreign);Number of new listings through IPO (Total);Number of trades (EOB);GDP;Population
Stock Exchange of Mauritius;Mauritius;8567,34;664,2379;251,65;19,5108;0,0294;92,1219;93;0,043;70,5789;89;4;1;73,71;12,898;1,261
Tunis Stock Exchange;Tunisia;7753,84;167,2492;570,17;sty.00;0,0735;94,559;82;0;sty.00;82;0;2;340,04;46,361;12,129
Palestine Exchange;West Bank and Gaza;4896,18;270,3578;472,75;26,1044;0,0966;99,922;49;0;9,1503;49;0;2;34,95;18.sty;5,355
Dhaka Stock Exchange;Bangladesh;42894,83;93,2089;22690,66;49,306;0,529;121,1718;354;0;2,1006;354;0;9;42377,56;460,201;168,52
Jamaica Stock Exchange;Jamaica;13053,35;767,7086;182,23;10,7175;0,014;129,2411;101;0,0594;34,6336;95;6;7;164,97;17,003;2,743
Malta Stock Exchange;Malta;4358,98;240,2966;34,37;sty.00;0,0079;132,0903;33;0;63,3397;33;0;3;sty.00;18,14;0,521
Vienna Stock Exchange;Austria;123048;261,234;38529,66;81,7994;0,3131;142,4167;864;0,9236;7,313;66;798;0;5431,61;471,026;9,025
Amman Stock Exchange;Jordan;25429,04;535,1342;2537,36;53,3967;0,0998;149,5826;170;0;16,5033;170;0;0;788,39;47,519;10,301
The Egyptian Exchange;Egypt;38852,96;81,7559;11306,22;23,791;0,291;161,8873;240;0,0042;sty.00;239;1;1;10691,75;475,231;103,6
Belarusian Currency and Stock Exchange;Belarus;2496,61;34,2776;sty.00;0,1048;0,0031;178,3293;14;0;sty.00;14;0;0;sty.00;72,835;9,256
Taipei Exchange;Taiwan Province of China;144686,19;190,2614;485610,98;638,5753;sty.00;179,0671;808;0,0384;33,3978;777;31;27;119821,42;760,46;23,265
